CITE SAINT AUGUSTIN; CITE SAINT AUGUSTIN ; CITE ST AUGUSTIN ; CITE SAINT-AUGUSTIN ; CITE ST-AUGUSTIN ;
CITE SAINT GEORGES; CITE SAINT GEORGES ; CITE ST GEORGES ; CITE SAINT-GEORGES ; CITE ST-GEORGES ;
COUR SAINT HONORE; COUR SAINT HONORE ; COUR ST HONORE ; COUR SAINT-HONORE ; COUR ST-HONORE ;
COUR SAINT LAURENT; COUR SAINT LAURENT ; COUR ST LAURENT ; COUR SAINT-LAURENT ; COUR ST-LAURENT ;
COUR SAINT LOUIS; COUR SAINT LOUIS ; COUR ST LOUIS ; COUR SAINT-LOUIS ; COUR ST-LOUIS ;
COUR SAINT MARTIN; COUR SAINT MARTIN ; COUR ST MARTIN ; COUR SAINT-MARTIN ; COUR ST-MARTIN ;
CITE SAINT MAURICE; CITE SAINT MAURICE ; CITE ST MAURICE ; CITE SAINT-MAURICE ; CITE ST-MAURICE ; CITE SAINTMAURICE 
COUR SAINT MICHEL; COUR SAINT MICHEL ; COUR ST MICHEL ; COUR SAINT-MICHEL ; COUR ST-MICHEL ;
COUR SAINT PIERRE; COUR SAINT PIERRE ; COUR ST PIERRE ; COUR SAINT-PIERRE ; COUR ST-PIERRE ;
COUR SAINT VICTOR; COUR SAINT VICTOR ; COUR ST VICTOR ; COUR SAINT-VICTOR ; COUR ST-VICTOR ;
CITE SAINTE ANNE; CITE SAINTE ANNE ; CITE STE ANNE ; CITE STE-ANNE ; CITE SAINTE-ANNE ;
COUR SAINTE MARGUERITE; COUR SAINTE MARGUERITE ; COUR STE MARGUERITE ; COUR SAINTE-MARGUERITE ; COUR STE-MARGUERITE ;
CITE SAINTE MARIE; CITE SAINTE MARIE ;;;;
CITE SAMAIN; CITE SAMAIN ;;;;
COUR SEMULIER; COUR SEMULIER ;;;;
COUR SERRURE; COUR SERRURE ;;;;
COUR SIMON; COUR SIMON ;;;;
COUR SOUBESPIN; COUR SOUBESPIN ;;;;
COUR SPRIET; COUR SPRIET ;;;;
COUR ST ARTHUR; COUR ST ARTHUR ; COUR SAINT ARTHUR ; COUR ST-ARTHUR ; COUR SAINT-ARTHUR ;
COUR ST JOSEPH; COUR ST JOSEPH ; COUR SAINT JOSEPH ; COUR ST-JOSEPH ; COUR SAINT-JOSEPH ;
COUR STAPPAERT; COUR STAPPAERT ;;;;
COUR STE AGNES; COUR STE AGNES ; COUR SAINTE AGNES ; COUR STE-AGNES ; COUR SAINTE AGNES ;
COUR STE ANNE; COUR STE ANNE ; COUR SAINTE ANNE ; COUR SAINTE-ANNE ; COUR STE-ANNE ;
CITE STE MARIE; CITE STE MARIE ; CITE SAINTE MARIE ; CITE SAINTE-MARIE ; CITE STE-MARIE ;
COUR STEVENAERT; COUR STEVENAERT ;;;;
COUR STIEN; COUR STIEN ;;;;
COUR STRICANNE; COUR STRICANNE ;;;;
COUR TAVERNIER; COUR TAVERNIER ;;;;
COUR TESSELY; COUR TESSELY ;;;;
COUR THEO; COUR THEO ;;;;
COUR TIRLEMONT; COUR TIRLEMONT ;;;;
COUR TOURTOIS; COUR TOURTOIS ;;;;
CITE VAN DE WEGHE; CITE VAN DE WEGHE ;;;;
COUR VANDENABELLE; COUR VANDENABELLE ;;;;
COUR VANDERLINDEN; COUR VANDERLINDEN ;;;;
COUR VANDEVELDE; COUR VANDEVELDE ;;;;
COUR VANHOVE; COUR VANHOVE ;;;;
COUR VANLATON; COUR VANLATON ;;;;
CITE VANTORHOUDT; CITE VANTORHOUDT ;;;;
COUR VERGAUWEN; COUR VERGAUWEN ;;;;
COUR VERMEULEN; COUR VERMEULEN ;;;;
COUR VICTOR HUGO; COUR VICTOR HUGO ;;;;
COUR VIGNAL; COUR VIGNAL ;;;;
COUR VILLA CAMILLE; COUR VILLA CAMILLE ;;;;
COUR VINCENT; COUR VINCENT ;;;;
COUR WACREGNIER; COUR WACREGNIER ;;;;
COUR WAREIN; COUR WAREIN ;;;;
COUR WATTECAMPS; COUR WATTECAMPS ;;;;
COUR WATTRELOT; COUR WATTRELOT ;;;;
COUR WYTTERHAEGHE; COUR WYTTERHAEGHE ;;;;
CITE SAINTE HELENE; CITE SAINTE HELENE ;;;;
EURALILLE; EURALILLE ;;;;
PARC ST MAUR; PARC ST MAUR ; PARC SAINT MAUR ; PARC ST-MAUR ; PARC SAINT-MAUR ; PARC SAINT MAURC 
RESIDENCE VAUQUELIN; RES VAUQUELIN ; RESIDENCE VAUQUELIN ;;;
